tahun,provinsi,kabupaten_kota,kecamatan,kode_prov,kode_kabkota,kode_kec,jenjang,jumlah_satuan_pendidikan,date_pull,jumlah_laki,jumlah_perempuan,jumlah_alergi,jumlah_fobia,jumlah_intoleransi,jumlah_penerima_manfaat,jumlah_kondisi_khusus,jumlah_satpen_negeri,jumlah_satpen_swasta,__source_file
2026,Prov. Papua Pegunungan,Kab. Tolikara,Kec. Kembu,380000,380400,380404,SD,1,2026-06-08 23:03:17,250,204,0,0,0,454,0,0,1,Full_Provinsi_Data.csv
2026,Prov. Kalimantan Utara,Kab. Bulungan,Kec. Tanjung Selor,340000,340200,340209,SMK,1,2026-06-08 23:02:23,448,1174,93,0,0,1622,93,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kota Tangerang,Kec. Jati uwung,280000,286100,286104,SMP,2,2026-06-08 22:57:41,576,580,0,0,0,1156,0,1,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kota Tangerang,Kec. Periuk,280000,286100,286112,SMP,1,2026-06-08 22:57:41,974,948,0,0,0,1922,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kota Tangerang,Kec. Tangerang,280000,286100,286103,SMP,1,2026-06-08 22:57:41,804,772,0,0,0,1576,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kota Cilegon,Kec. Cilegon,280000,286000,286003,SD,1,2026-06-08 22:57:40,164,122,0,0,0,286,0,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Serang,Kec. Baros,280000,280400,280405,SMK,1,2026-06-08 22:57:39,928,956,0,0,0,1884,0,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Tangerang,Kec. Kosambi,280000,280300,280321,PAUD,1,2026-06-08 22:57:39,28,40,0,0,0,68,0,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Tangerang,Kec. Kresek,280000,280300,280314,PAUD,1,2026-06-08 22:57:40,36,42,0,0,0,78,0,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Banjarsari,280000,280200,280206,SMA,1,2026-06-08 22:57:36,868,914,0,0,0,1782,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cibeber,280000,280200,280204,PAUD,1,2026-06-08 22:57:36,34,26,0,1,0,60,1,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cibeber,280000,280200,280204,SMP,1,2026-06-08 22:57:36,204,210,0,2,0,414,2,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cihara,280000,280200,280224,PAUD,2,2026-06-08 22:57:36,72,60,0,0,35,132,35,0,2,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cihara,280000,280200,280224,SD,1,2026-06-08 22:57:36,70,98,0,0,0,168,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cihara,280000,280200,280224,SMA,1,2026-06-08 22:57:36,194,186,0,0,0,380,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cikulur,280000,280200,280215,PAUD,1,2026-06-08 22:57:36,54,58,0,1,46,112,47,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cileles,280000,280200,280207,SD,1,2026-06-08 22:57:36,214,188,0,0,0,402,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cilograng,280000,280200,280223,PAUD,1,2026-06-08 22:57:37,10,10,0,0,0,20,0,0,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Cipanas,280000,280200,280212,SD,1,2026-06-08 22:57:37,168,188,0,0,0,356,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Gunung kencana,280000,280200,280208,SD,1,2026-06-08 22:57:37,68,76,0,0,0,144,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Kalanganyar,280000,280200,280228,SD,2,2026-06-08 22:57:37,734,734,0,0,0,1468,0,1,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Leuwidamar,280000,280200,280210,SD,1,2026-06-08 22:57:37,302,278,0,0,0,580,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Leuwidamar,280000,280200,280210,SMP,1,2026-06-08 22:57:37,184,196,0,0,0,380,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Maja,280000,280200,280219,SMP,1,2026-06-08 22:57:37,112,92,0,0,0,204,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Malingping,280000,280200,280201,PAUD,2,2026-06-08 22:57:38,98,82,0,0,0,180,0,0,2,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Muncang,280000,280200,280211,SD,2,2026-06-08 22:57:38,104,100,0,0,0,204,0,2,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Muncang,280000,280200,280211,SMP,1,2026-06-08 22:57:38,82,86,0,0,0,168,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Rangkasbitung,280000,280200,280218,PAUD,2,2026-06-08 22:57:38,120,132,0,1,0,252,1,1,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Sajira,280000,280200,280213,SMP,1,2026-06-08 22:57:38,918,768,0,0,0,1686,0,1,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Sobang,280000,280200,280221,SD,2,2026-06-08 22:57:38,460,458,0,0,0,918,0,2,0,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Lebak,Kec. Warunggunung,280000,280200,280216,SD,3,2026-06-08 22:57:39,440,438,0,2,0,878,2,2,1,Full_Provinsi_Data.csv
2026,Prov. Banten,Kab. Pandeglang,Kec. Mandalawangi,280000,280100,280115,SD,1,2026-06-08 22:57:39,124,78,0,0,0,202,0,1,0,Full_Provinsi_Data.csv
